old_android_key,android_key,en_value,ios_key,ios_en_value,confidence,status,candidates,manual_target
error_shielding_message_grpc,shieldFunds_error_gprc_message,"An error happened during the last shielding transaction. We will try to resubmit the transaction later. If it fails, you may need to repeat the shielding attempt at a later time.",shieldFunds.error.gprc.message,"An error happened during the last shielding transaction. We will try to resubmit the transaction later. If it fails, you may need to repeat the shielding attempt at a later time.",1.00,MIGRATED_P1,,
error_shielding_title,shieldFunds_error_title,Shielding error,shieldFunds.error.title,Shielding Error,1.00,MIGRATED_P1,,
sign_keystone_transaction_bottom_sheet_subtitle,,"Rejecting the signature will cancel the transaction, and you’ll need to start over if you want to proceed. This action cannot be undone.",,,,TODO,,
sign_keystone_voting_error_no_account,,No selected Keystone account is available.,,,,TODO,,
sign_keystone_voting_error_prepare_request,,Failed to prepare the Keystone signing request.,,,,TODO,,
sign_keystone_voting_error_skip_remaining,,Unable to skip remaining Keystone bundles.,,,,TODO,,
sign_keystone_voting_error_title,,Unable to prepare Keystone signing,,,,TODO,,
sign_keystone_voting_skip_remaining_bundle,,Skip remaining bundle,,,,TODO,,
sign_keystone_voting_skip_remaining_bundles,,Skip %1$d remaining bundles,,,,TODO,,
sign_keystone_voting_skip_remaining_confirm,,Skip Remaining,,,,TODO,,
sign_keystone_voting_skip_remaining_message,,You will submit with %1$s signed and give up %2$s from the unsigned bundles.,,,,TODO,,
sign_keystone_voting_skip_remaining_title,,Skip remaining bundles?,,,,TODO,,
home_message_resyncing_title,smartBannerContentResyncing,Resyncing,smartBannerContentResyncing,,1.00,MIGRATED_P1,,
home_message_backup_required_button,smartBanner_content_backup_button,Start,smartBanner.content.backup.button,Start,1.00,MIGRATED_P2,,
home_message_backup_required_title,smartBanner_content_backup_info,Prevent potential loss of funds,smartBanner.content.backup.info,Prevent potential loss of funds,1.00,MIGRATED_P1,,
home_button_more,smartBanner_content_backup_title,Wallet Backup Required,smartBanner.content.backup.title,Wallet Backup Required,1.00,MIGRATED_P1,,
home_message_currency_conversion_button,smartBanner_content_currencyConversion_button,Start,smartBanner.content.currencyConversion.button,Start,1.00,MIGRATED_P2,,
home_message_currency_conversion_subtitle,smartBanner_content_currencyConversion_info,Enable to display fiat values,smartBanner.content.currencyConversion.info,Enable to display fiat values,1.00,MIGRATED_P1,,
home_message_wallet_disconnected_subtitle,smartBanner_content_disconnected_info,Check your connection and reload Zodl,smartBanner.content.disconnected.info,Check your connection and reload Zodl,1.00,MIGRATED_P1,,
home_info_disconnected_title | home_message_wallet_disconnected_title,smartBanner_content_disconnected_title,Wallet Disconnected,smartBanner.content.disconnected.title,Wallet Disconnected,1.00,MIGRATED_P2,,
home_message_restoring_subtitle,smartBanner_content_restore_info,Keep Zodl open on active phone screen,smartBanner.content.restore.info,Keep Zodl open on active phone screen,1.00,MIGRATED_P1,,
home_message_restoring_subtitle_spendable,smartBanner_content_restore_infoSpendable,Your funds are ready to be used now,smartBanner.content.restore.infoSpendable,Your funds are ready to be used now,1.00,MIGRATED_P1,,
home_message_restoring_title,smartBanner_content_restore_title,Restoring Wallet • %1$.1f%% Complete,smartBanner.content.restore.title,Restoring Wallet • %@ Complete,1.00,MIGRATED_P1,,
balance_action_shield | home_info_transparent_balance_shield | home_message_transparent_balance_button,smartBanner_content_shield_button,Shield,smartBanner.content.shield.button,Shield,1.00,MIGRATED_P2,,
home_message_transparent_balance_title,smartBanner_content_shield_title,Unshielded Balance,smartBanner.content.shield.title,Unshielded Balance,1.00,MIGRATED_P1,,
home_message_syncing_subtitle,smartBanner_content_sync_info,Your wallet is updating,smartBanner.content.sync.info,Your wallet is updating,1.00,MIGRATED_P1,,
home_message_error_subtitle,smartBanner_content_syncingError_info,Attempting to resolve,smartBanner.content.syncingError.info,Attempting to resolve,1.00,MIGRATED_P1,,
home_message_error_title,smartBanner_content_syncingError_title,Error encountered while syncing,smartBanner.content.syncingError.title,Error encountered while syncing,1.00,MIGRATED_P1,,
home_message_tor_subtitle,smartBanner_content_tor_info,Protect your IP address,smartBanner.content.tor.info,Protect your IP address,1.00,MIGRATED_P1,,
home_message_wallet_updating_subtitle,smartBanner_content_updatingBalance_info,Waiting for last transaction to process,smartBanner.content.updatingBalance.info,Waiting for last transaction to process,1.00,MIGRATED_P1,,
home_info_backup_checkbox,smartBanner_help_backup_acknowledge,I read and understand the risks of not backing up my wallet.,smartBanner.help.backup.acknowledge,I read and understand the risks of not backing up my wallet.,1.00,MIGRATED_P1,,
home_info_backup_subtitle_1,smartBanner_help_backup_info1,Prevent potential loss of funds by securely backing up your wallet.,smartBanner.help.backup.info1,Prevent potential loss of funds by securely backing up your wallet.,1.00,MIGRATED_P1,,
home_info_backup_subtitle_2,smartBanner_help_backup_info2,Back up access to your funds by backing up:,smartBanner.help.backup.info2,Back up access to your funds by backing up:,1.00,MIGRATED_P1,,
home_info_backup_message_1,smartBanner_help_backup_info3,"In case you lose access to the app or to your device, knowing the Secret
        Recovery Phrase is the only way to recover your funds. We cannot see it and cannot help you recover it.",smartBanner.help.backup.info3,"In case you lose access to the app or to your device, knowing the Secret Recovery Phrase is the only way to recover your funds. We cannot see it and cannot help you recover it.",1.00,MIGRATED_P1,,
home_info_backup_message_2,smartBanner_help_backup_info4,"Anyone with access to your Secret Recovery Phrase will have full control
        of your wallet, so keep it secure and never show it to anyone.",smartBanner.help.backup.info4,"Anyone with access to your Secret Recovery Phrase will have full control of your wallet, so keep it secure and never show it to anyone.",1.00,MIGRATED_P1,,
home_info_backup_bullet_1,smartBanner_help_backup_point1,"Secret Recovery Phrase (a unique set of 24 words in a precise
        order)",smartBanner.help.backup.point1,Secret Recovery Phrase (a unique set of 24 words in a precise order) ,1.00,MIGRATED_P1,,
home_info_backup_bullet_2,smartBanner_help_backup_point2,"Wallet Birthday Height (block height at which your wallet was
        created)",smartBanner.help.backup.point2,Wallet Birthday Height (block height at which your wallet was created),1.00,MIGRATED_P1,,
home_info_backup_title,smartBanner_help_backup_title,Backup Required,smartBanner.help.backup.title,Backup Required,1.00,MIGRATED_P1,,
home_info_disconnected_subtitle,smartBanner_help_diconnected_info,"You appear to be offline. Please restore your internet connection
        to use Zodl wallet.",smartBanner.help.diconnected.info,You appear to be offline. Please restore your internet connection to use Zodl wallet.,1.00,MIGRATED_P1,,
home_info_restoring_message | keep_open_restore_description,smartBanner_help_restore_info,"Zodl is scanning the blockchain to retrieve your transactions. Older
        wallets can take hours to restore. Follow these steps to prevent interruption:",smartBanner.help.restore.info,Zodl is scanning the blockchain to retrieve your transactions. Older wallets can take hours to restore. Follow these steps to prevent interruption:,1.00,MIGRATED_P2,,
home_info_restoring_title,smartBanner_help_restore_title,Wallet Restore in Progress,smartBanner.help.restore.title,Wallet Restore in Progress,1.00,MIGRATED_P1,,
home_info_restoring_note,smartBanner_help_restore_warning,Funds cannot be spent until your wallet is restored.,smartBanner.help.restore.warning,Funds cannot be spent until your wallet is restored.,1.00,MIGRATED_P1,,
home_info_resyncing_title,smartBanner_help_resync_title,Wallet Resync in Progress,smartBanner.help.resync.title,Wallet Resync in Progress,1.00,MIGRATED_P1,,
home_info_transparent_checkbox,smartBanner_help_shield_doNotShowAgain,Do not show this message again.,smartBanner.help.shield.doNotShowAgain,Do not show this message again,1.00,MIGRATED_P1,,
home_info_transparent_subtitle,smartBanner_help_shield_info1,"To protect user privacy, Zodl doesn\'t support spending transparent
        %s. Tap the \""Shield\"" button below to make your transparent funds spendable and your total Zodl balance private.",smartBanner.help.shield.info1,"To protect user privacy, Zodl doesn't support spending transparent ZEC. Tap the ""Shield"" button below to make your transparent funds spendable and your total Zodl balance private. ",1.00,MIGRATED_P1,,
home_info_transparent_message,smartBanner_help_shield_info2,"This will create a shielding in-wallet transaction, consolidating your
        transparent and shielded funds. (Typical fee: < %1$s %2$s)",smartBanner.help.shield.info2,"This will create a shielding in-wallet transaction, consolidating your transparent and shielded funds. (Typical fee: %@)",1.00,MIGRATED_P1,,
home_info_transparent_not_now,smartBanner_help_shield_notNow,Not now,smartBanner.help.shield.notNow,Not now,1.00,MIGRATED_P1,,
home_info_transparent_title,smartBanner_help_shield_title,Always Shield Transparent Funds,smartBanner.help.shield.title,Always Shield Transparent Funds,1.00,MIGRATED_P1,,
balance_action_shield_button_header | home_info_transparent_subheader,smartBanner_help_shield_transparent,Transparent,smartBanner.help.shield.transparent,Transparent,1.00,MIGRATED_P2,,
error_sync_title,smartBanner_help_syncError_title,Syncing error,smartBanner.help.syncError.title,Syncing Error,1.00,MIGRATED_P1,,
home_info_syncing_message,smartBanner_help_sync_info,"Zodl is scanning the blockchain for your latest transactions to make sure
        your balances are displayed correctly. Keep the Zodl app open on an active phone screen to avoid interruptions.",smartBanner.help.sync.info,Zodl is scanning the blockchain for your latest transactions to make sure your balances are displayed correctly. Keep the Zodl app open on an active phone screen to avoid interruptions.,1.00,MIGRATED_P1,,
home_info_syncing_title,smartBanner_help_sync_title,Wallet Sync in Progress,smartBanner.help.sync.title,Wallet Sync in Progress,1.00,MIGRATED_P1,,
home_info_updating_message,smartBanner_help_updatingBalance_info,Your last transaction is getting mined and confirmed.,smartBanner.help.updatingBalance.info,Your last transaction is getting mined and confirmed.,1.00,MIGRATED_P1,,
home_info_updating_title,smartBanner_help_updatingBalance_title,Updating Balance,smartBanner.help.updatingBalance.title,Updating Balance,1.00,MIGRATED_P2,,
authentication_failed_welcome_title,splash_authTitle,Your Zodl account is secured.,splash.authTitle,Your Zodl account is secured.,1.00,MIGRATED_P1,,
support_confirmation_dialog_title,,Open e-mail app,,,,TODO,,
support_confirmation_explanation,,"Zodl is about to
        open your e-mail app with a pre-filled message.\n\nBe sure to hit send within your e-mail app.",,,,TODO,,
support_email_address,,support@zodl.com,,,,TODO,,
support_email_part_1,,How is your Zodl experience?\n%1$s %2$s/5,,,,TODO,,
support_email_part_2,,How can we help you?\n%s,,,,TODO,,
support_header,coinVote_common_support,Support,coinVote.common.support,Support,0.27,TODO,0.27:coinVote.common.support | 0.00:sendFeedback.screenTitle,
general_address,swapAndPay_address,Address,swapAndPay.address,Address,1.00,MIGRATED_P2,,
contact_select_chain | swap_picker_select_chain | swap_select_chain,swapAndPay_addressBookSelectChain,Select Chain,swapAndPay.addressBookSelectChain,Select Chain,1.00,MIGRATED_P2,,
swap_cancel_subtitle,swapAndPay_cancelMsg,"If you leave this screen, all the information you entered will be lost.",swapAndPay.cancelMsg,"If you leave this screen, all the information you entered will be lost.",1.00,MIGRATED_P1,,
swap_quote_cancel_payment,swapAndPay_cancelPayment,Cancel payment,swapAndPay.cancelPayment,Cancel payment,1.00,MIGRATED_P1,,
swap_cancel_negative | swap_quote_cancel_swap,swapAndPay_cancelSwap,Cancel swap,swapAndPay.cancelSwap,Cancel swap,1.00,MIGRATED_P2,,
swap_cancel_title,swapAndPay_canceltitle,Are you sure?,swapAndPay.canceltitle,Are you sure?,1.00,MIGRATED_P2,,
send_confirmation_success_btn_check_status,swapAndPay_checkStatus,Check status,swapAndPay.checkStatus,Check status,1.00,MIGRATED_P1,,
swap_slippage_custom,swapAndPay_custom,Custom,swapAndPay.custom,Custom,1.00,MIGRATED_P2,,
swap_quote_edit_payment,swapAndPay_editPayment,Edit payment,swapAndPay.editPayment,Edit payment,1.00,MIGRATED_P1,,
swap_quote_edit_swap,swapAndPay_editSwap,Edit swap,swapAndPay.editSwap,Edit swap,1.00,MIGRATED_P1,,
transaction_detail_info_realized_slippage,swapAndPay_executedSlippage,Realized slippage,swapAndPay.executedSlippage,Realized slippage,1.00,MIGRATED_P1,,
transaction_detail_info_expired_message,swapAndPay_expiredMsg,"This swap expired after its 24-hour validity window. If you didn\'t send funds, no action is needed. If you did send funds, contact support so we can help.",swapAndPay.expiredMsg,"This swap expired after its 24-hour validity window. If you didn't send funds, no action is needed. If you did send funds, contact support so we can help.",1.00,MIGRATED_P1,,
transaction_detail_info_expired_title,swapAndPay_expiredTitle,Swap Expired,swapAndPay.expiredTitle,Swap Expired,1.00,MIGRATED_P2,,
transaction_detail_info_failed_message,swapAndPay_failedMsg,"This swap could not be completed. If you deposited funds and didn\'t receive your swap, contact support so we can help resolve it.",swapAndPay.failedMsg,"This swap could not be completed. If you deposited funds and didn't receive your swap, contact support so we can help resolve it.",1.00,MIGRATED_P1,,
transaction_detail_info_failed_title,swapAndPay_failedTitle,Swap Failed,swapAndPay.failedTitle,Swap Failed,1.00,MIGRATED_P2,,
send_confirmation_error_swap_subtitle,swapAndPay_failureSwapInfo,"There was an error initiating a swap.\nTry it again, please.",swapAndPay.failureSwapInfo,"There was an error initiating a swap. Try it again, please.",1.00,MIGRATED_P1,,
general_please_try_again,swapAndPay_failure_laterDesc,Please try again later.,swapAndPay.failure.laterDesc,Please try again later.,1.00,MIGRATED_P1,,
general_service_unavailable,swapAndPay_failure_laterTitle,The service is unavailable,swapAndPay.failure.laterTitle,The service is unavailable,1.00,MIGRATED_P1,,
general_check_connection,swapAndPay_failure_retryDesc,Please check your connection and try again.,swapAndPay.failure.retryDesc,Please check your connection and try again.,1.00,MIGRATED_P1,,
general_unexpected_error,swapAndPay_failure_retryTitle,Unexpected error,swapAndPay.failure.retryTitle,Unexpected error,1.00,MIGRATED_P1,,
general_error_message,swapAndPay_failure_wrongDesc,We couldn\’t load the assets. Please check your connection and try again.,swapAndPay.failure.wrongDesc,We couldn’t load the assets. Please check your connection and try again.,1.00,MIGRATED_P1,,
swap_from,swapAndPay_from,From,swapAndPay.from,From,1.00,MIGRATED_P1,,
swap_confirm,swapAndPay_getQuote,Get a quote,swapAndPay.getQuote,Get a quote,1.00,MIGRATED_P1,,
swap_info_title,swapAndPay_help_swapWith,Swap with,swapAndPay.help.swapWith,Swap with,1.00,MIGRATED_P1,,
swap_max,swapAndPay_max,Spendable: %s,swapAndPay.max,Spendable: %@,1.00,MIGRATED_P1,,
swap_quote_max_slippage,swapAndPay_maxSlippage,Max slippage %s,swapAndPay.maxSlippage,Max slippage %@%,1.00,MIGRATED_P1,,
transaction_detail_info_max_slippage,swapAndPay_maxSlippageTitle,Max slippage,swapAndPay.maxSlippageTitle,Max slippage,1.00,MIGRATED_P1,,
pay_from,swapAndPay_payFrom,Pay from,swapAndPay.payFrom,Pay from,1.00,MIGRATED_P1,,
pay_quote_title,swapAndPay_payNow,Pay Now,swapAndPay.payNow,Pay Now,1.00,MIGRATED_P1,,
pay_to,swapAndPay_payTo,Pay to,swapAndPay.payTo,Pay to,1.00,MIGRATED_P1,,
send_confirmation_pending_payment_subtitle,swapAndPay_pendingPayInfo,Your cross-chain payment is being processed. Follow its status on the transaction screen.,swapAndPay.pendingPayInfo,Your cross-chain payment is being processed. Follow its status on the transaction screen.,1.00,MIGRATED_P1,,
send_confirmation_pending_payment_title,swapAndPay_pendingPayTitle,Payment Pending,swapAndPay.pendingPayTitle,Payment Pending,1.00,MIGRATED_P1,,
send_confirmation_pending_swap_subtitle,swapAndPay_pendingSwapInfo,Your swap is being processed. Follow its status on the transaction screen.,swapAndPay.pendingSwapInfo,Your swap is being processed. Follow its status on the transaction screen.,1.00,MIGRATED_P1,,
send_confirmation_pending_swap_title,swapAndPay_pendingSwapTitle,Swap Pending,swapAndPay.pendingSwapTitle,Swap Pending,1.00,MIGRATED_P2,,
transaction_detail_info_pending_deposit_message,swapAndPay_processingMsg,Your swap has been delayed. Swaps typically complete in minutes but may take longer depending on market conditions.,swapAndPay.processingMsg,Your swap has been delayed. Swaps typically complete in minutes but may take longer depending on market conditions.,1.00,MIGRATED_P1,,
swap_quote_unavailable,swapAndPay_quoteUnavailable,Quote Unavailable,swapAndPay.quoteUnavailable,Quote Unavailable,1.00,MIGRATED_P1,,
swap_quote_zashi,swapAndPay_quote_zashi,Zodl,swapAndPay.quote.zashi,Zodl,1.00,MIGRATED_P2,,
swap_rate,swapAndPay_rate,Rate,swapAndPay.rate,Rate,1.00,MIGRATED_P1,,
transaction_detail_info_recipient,swapAndPay_recipient,Recipient,swapAndPay.recipient,Recipient,1.00,MIGRATED_P1,,
transaction_detail_info_refunded_message,swapAndPay_refundInfo,"Your deposit was detected but the swap could not be completed. Your funds have been returned, minus transaction fees. If you haven\'t received them, contact the Zodl support team.",swapAndPay.refundInfo,"Your deposit was detected but the swap could not be completed. Your funds have been returned, minus transaction fees. If you haven't received them, contact the Zodl support team.",1.00,MIGRATED_P1,,
transaction_detail_info_refunded_title,swapAndPay_refundTitle,Funds Returned,swapAndPay.refundTitle,Funds Returned,1.00,MIGRATED_P1,,
transaction_detail_info_refunded,swapAndPay_refundedAmount,Refunded amount,swapAndPay.refundedAmount,Refunded amount,1.00,MIGRATED_P1,,
swap_search_hint,swapAndPay_search,Search by name or ticker…,swapAndPay.search,Search by name or ticker...,1.00,MIGRATED_P1,,
send_confirmation_swapping_subtitle_transparent,swapAndPay_sendingInfo,Your coins are being sent to the deposit address…,swapAndPay.sendingInfo,Your coins are being sent to the deposit address...,1.00,MIGRATED_P1,,
swap_slippage_title,swapAndPay_slippage,Slippage,swapAndPay.slippage,Slippage,1.00,MIGRATED_P1,,
swap_slippage_subtitle,swapAndPay_slippageDesc,"This setting determines the maximum allowable difference between the expected price of a swap and the actual price you pay, which is outside of Zodl\'s control.",swapAndPay.slippageDesc,"This setting determines the maximum allowable difference between the expected price of a swap and the actual price you pay, which is outside of Zodl's control.",1.00,MIGRATED_P1,,
swap_slippage_tolerance,swapAndPay_slippageTolerance,Slippage tolerance,swapAndPay.slippageTolerance,Slippage tolerance,1.00,MIGRATED_P1,,
pay_slippage_footer,swapAndPay_slippageWarn,Any unused portion of the slippage fee will be refunded if the swap executes with lower slippage than expected.,swapAndPay.slippageWarn,Any unused portion of the slippage fee will be refunded if the swap executes with lower slippage than expected.,1.00,MIGRATED_P1,,
transaction_detail_info_transaction_status,swapAndPay_status,Status,swapAndPay.status,Status,1.00,MIGRATED_P1,,
swap_detail_expired,swapAndPay_status_expired,Expired,swapAndPay.status.expired,Expired,1.00,MIGRATED_P1,,
swap_detail_failed,swapAndPay_status_failed,Failed,swapAndPay.status.failed,Failed,1.00,MIGRATED_P1,,
swap_detail_incomplete_deposit | transaction_detail_info_incomplete_deposit_title,swapAndPay_status_incompleteDeposit,Incomplete deposit,swapAndPay.status.incompleteDeposit,Incomplete Deposit,1.00,MIGRATED_P2,,
swap_detail_pending,swapAndPay_status_pending,Pending,swapAndPay.status.pending,Pending,1.00,MIGRATED_P2,,
swap_detail_pending_deposit,swapAndPay_status_pendingDeposit,Pending deposit,swapAndPay.status.pendingDeposit,Pending Deposit,1.00,MIGRATED_P1,,
general_processing,swapAndPay_status_processing,Processing,swapAndPay.status.processing,Processing,1.00,MIGRATED_P2,,
swap_detail_refunded,swapAndPay_status_refunded,Refunded,swapAndPay.status.refunded,Refunded,1.00,MIGRATED_P1,,
swap_detail_completed,swapAndPay_status_success,Completed,swapAndPay.status.success,Completed,1.00,MIGRATED_P1,,
send_confirmation_success_cross_chain_subtitle,swapAndPay_successPayInfo,You successfully initiated a cross-chain payment.\nFollow its status on the transaction screen.,swapAndPay.successPayInfo,You successfully initiated a cross-chain payment. Follow its status on the transaction screen.,1.00,MIGRATED_P1,,
send_confirmation_success_swap_subtitle,swapAndPay_successSwapInfo,You successfully initiated a swap.\nFollow its status on the transaction screen.,swapAndPay.successSwapInfo,You successfully initiated a swap. Follow its status on the transaction screen.,1.00,MIGRATED_P1,,
home_button_swap | swap_confirmation_title | swap_title | transaction_filters_swap,swapAndPay_swap,Swap,swapAndPay.swap,Swap,1.00,MIGRATED_P2,,
swap_quote_from,swapAndPay_swapFrom,Swap from,swapAndPay.swapFrom,Swap from,1.00,MIGRATED_P1,,
swap_quote_title,swapAndPay_swapNow,Swap Now,swapAndPay.swapNow,Swap Now,1.00,MIGRATED_P1,,
swap_quote_info,swapAndPay_swapQuoteSlippageWarn,You could receive up to %s less based on the %s slippage you set.,swapAndPay.swapQuoteSlippageWarn,You could receive up to %@ less based on the %@ slippage you set.,1.00,MIGRATED_P1,,
swap_quote_to,swapAndPay_swapTo,Swap to,swapAndPay.swapTo,Swap to,1.00,MIGRATED_P1,,
swap_to,swapAndPay_to,To,swapAndPay.to,To,1.00,MIGRATED_P1,,
swap_quote_total_amount,swapAndPay_totalAmount,Total Amount,swapAndPay.totalAmount,Total Amount,1.00,MIGRATED_P2,,
swap_quote_total_fees | transaction_detail_info_total_fees,swapAndPay_totalFees,Total fees,swapAndPay.totalFees,Total fees,1.00,MIGRATED_P2,,
